op,component,layer,models
merge,mlp_down,26,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:26"
merge,mlp_gate,26,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:26"
merge,mlp_gate,22,"deepseek-coder-7b-instruct-v1.5:22,deepseek-math-7b-instruct:22"
merge,mlp_down,14,"deepseek-coder-7b-instruct-v1.5:14,deepseek-math-7b-instruct:14"
merge,mlp_gate,9,"deepseek-coder-7b-instruct-v1.5:9,deepseek-math-7b-instruct:9"
merge,mlp_gate,4,"deepseek-coder-7b-instruct-v1.5:4,deepseek-math-7b-instruct:4"
merge,mlp_up,25,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:25"
merge,mlp_gate,8,"deepseek-coder-7b-instruct-v1.5:8,deepseek-math-7b-instruct:8"
merge,mlp_up,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:5"
merge,attn_v,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:21"
merge,attn_k,25,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:25"
merge,attn_o,25,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:25"
merge,attn_v,25,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:25"
merge,attn_k,23,"deepseek-coder-7b-instruct-v1.5:23,deepseek-math-7b-instruct:23"
merge,attn_k,27,"deepseek-coder-7b-instruct-v1.5:27,deepseek-math-7b-instruct:27"
merge,attn_o,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,attn_q,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,attn_v,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,attn_k,24,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:24"
merge,attn_o,24,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:24"
merge,attn_o,28,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:28"
merge,attn_v,22,"deepseek-coder-7b-instruct-v1.5:22,deepseek-math-7b-instruct:22"
