op,component,layer,models
merge,mlp_down,17,"deepseek-coder-7b-instruct-v1.5:17,deepseek-math-7b-instruct:17"
merge,mlp_up,17,"deepseek-coder-7b-instruct-v1.5:17,deepseek-math-7b-instruct:17"
merge,mlp_gate,10,"deepseek-coder-7b-instruct-v1.5:10,deepseek-math-7b-instruct:10"
merge,mlp_up,10,"deepseek-coder-7b-instruct-v1.5:10,deepseek-math-7b-instruct:10"
merge,mlp_up,14,"deepseek-coder-7b-instruct-v1.5:14,deepseek-math-7b-instruct:14"
merge,mlp_gate,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,mlp_gate,8,"deepseek-coder-7b-instruct-v1.5:8,deepseek-math-7b-instruct:8"
merge,mlp_gate,6,"deepseek-coder-7b-instruct-v1.5:6,deepseek-math-7b-instruct:6"
merge,mlp_down,26,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:26"
merge,mlp_gate,4,"deepseek-coder-7b-instruct-v1.5:4,deepseek-math-7b-instruct:4"
merge,mlp_gate,28,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:28"
merge,mlp_gate,2,"deepseek-coder-7b-instruct-v1.5:2,deepseek-math-7b-instruct:2"
merge,mlp_gate,16,"deepseek-coder-7b-instruct-v1.5:16,deepseek-math-7b-instruct:16"
merge,mlp_gate,18,"deepseek-coder-7b-instruct-v1.5:18,deepseek-math-7b-instruct:18"
merge,mlp_up,11,"deepseek-coder-7b-instruct-v1.5:11,deepseek-math-7b-instruct:11"
merge,mlp_down,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:21"
merge,mlp_gate,9,"deepseek-coder-7b-instruct-v1.5:9,deepseek-math-7b-instruct:9"
merge,mlp_gate,7,"deepseek-coder-7b-instruct-v1.5:7,deepseek-math-7b-instruct:7"
merge,mlp_gate,29,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:29"
merge,attn_o,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,attn_v,20,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:20"
merge,attn_v,22,"deepseek-coder-7b-instruct-v1.5:22,deepseek-math-7b-instruct:22"
merge,attn_v,25,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:25"
merge,attn_k,2,"deepseek-coder-7b-instruct-v1.5:2,deepseek-math-7b-instruct:2"
merge,attn_k,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:19"
merge,attn_v,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:21"
