op,component,layer,models
merge,attn_q,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_k,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_v,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_o,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_gate,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_up,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_down,15,"Llama-3.1-8B-Instruct-multi-truth-judge:15,Llama-3.1-8B-UltraMedical:15,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,attn_q,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,attn_k,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,attn_v,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,attn_o,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_gate,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_up,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_down,14,"Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,attn_q,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,attn_k,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,attn_v,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,attn_o,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,mlp_gate,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,mlp_up,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
merge,mlp_down,31,"Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:31"
